UC-ID | Name | Type | Primary Actor | Description | BF-ID | Relationship
UC-108 | Cảnh báo thiếu thông tin khách hàng khi gửi báo giá | System | Hệ thống | Hệ thống cảnh báo khi khách hàng thiếu thông tin bắt buộc (MST, địa chỉ) ngay lúc gửi báo giá. |  | 
UC-109 | Quản lý hạn hiệu lực báo giá | UI | Nhân viên Kinh doanh | Đặt/gia hạn hạn hiệu lực báo giá; tự động chuyển sang Hết hiệu lực khi quá hạn mà khách chưa chốt (chạy hằng ngày). |  | Xem JOB-01
UC-110 | Giám sát và nhắc việc quá hạn phê duyệt báo giá | UI / Report | CEO | Giám sát và nhắc việc (activity) cho người duyệt hợp lệ khi phát sinh yêu cầu phê duyệt báo giá quá hạn. | BF-04 | 
UC-111 | Cảnh báo trùng tên khi tạo sản phẩm | System | Hệ thống | Khi tên sản phẩm mới trùng hoặc gần giống một sản phẩm đã có, hệ thống báo cho người dùng biết — hiện chỉ áp dụng khi Kỹ thuật tạo SP gia công/BTP qua RFQ. | BF-02 | 
UC-112 | Cảnh báo và theo dõi vật tư chưa có giá nhà cung cấp | UI | Mua hàng | Khi định mức/vật tư chưa có giá nhà cung cấp, hệ thống cảnh báo và giao việc nhắc Mua hàng cập nhật. | BF-02, BF-08 | 
UC-113 | Tự động cập nhật giá vốn sản phẩm theo bảng giá nhà cung cấp | System | Hệ thống | Khi một bảng giá nhà cung cấp được áp dụng, hệ thống tự cập nhật lại giá vốn tham chiếu của sản phẩm/vật tư liên quan. |  | Kích hoạt bởi UC-050
UC-114 | Phát lệnh sản xuất | Planned | — | Phát lệnh sản xuất từ đơn bán hàng đã chốt theo định mức — chưa triển khai (module Sản xuất chưa có code). |  | Planned
UC-115 | Theo dõi trạng thái lệnh sản xuất | Planned | — | Theo dõi trạng thái lệnh sản xuất — chưa triển khai. |  | Planned
UC-116 | Lập kế hoạch sản xuất theo hạn giao hàng | Planned | — | Lập kế hoạch sản xuất theo hạn giao hàng — chưa triển khai. |  | Planned
UC-117 | Tổng quan sản xuất cho quản lý | Planned | — | Tổng quan sản xuất cho quản lý — chưa triển khai. |  | Planned
UC-118 | Bảng tổng quan báo cáo quản trị | Planned | — | Bảng tổng quan báo cáo quản trị: báo giá, đơn hàng, sản xuất, tồn kho cho CEO — chưa triển khai (module Báo cáo & Dashboard chưa có code). |  | Planned
